Dataset,Session,Sequence,ProbedFrame,LocationIndex,PicX,PicY,GT_u,GT_v,GT_angle,GT_Speed
1,0,152,10,1,385,235,-6.84375,-0,180,6.84375
1,0,152,10,2,399,258,-6.515625,-0.953125,188.322369348955,6.58496897534453
1,0,152,10,3,529,301,-2.5,-4.28125,239.717566568058,4.95773149358656
1,0,152,10,4,616,218,6.109375,1.65625,15.1682881878924,6.32989944257608
1,0,152,10,5,663,298,3.953125,-5.015625,308.243835505138,6.38621103677681
1,0,152,10,6,719,200,5.34375,0.8125,8.64542253425363,5.4051660763107
1,0,152,10,7,766,288,8.6875,-4.71875,331.490718446975,9.88631669594395
1,0,152,10,8,828,264,9.71875,-3.078125,342.425950593644,10.194555168232
1,0,152,10,9,871,244,11.59375,-2.53125,347.683943422063,11.8668557598464
1,0,152,10,10,922,211,17.125,-1.84375,353.8549644322,17.2239669955124
