Dataset,Session,Sequence,ProbedFrame,LocationIndex,PicX,PicY,GT_u,GT_v,GT_angle,GT_Speed
1,1,1,10,1,334,221,-12.5625,-3.828125,196.947361158399,13.132819471295
1,1,1,10,2,421,213,-8.046875,-3.234375,201.897253792257,8.67256472482333
1,1,1,10,3,485,233,-8.765625,-5.34375,211.367557219662,10.2660530732665
1,1,1,10,4,512,245,-8.703125,-7.25,219.795451738871,11.3272628982303
1,1,1,10,5,558,260,-6.171875,-10.03125,238.39747739736,11.7778613329469
1,1,1,10,6,615,251,-0.875,-8.25,263.945808105885,8.29627175302256
1,1,1,10,7,694,253,6.046875,-8.625,305.033796187884,10.5335332280116
1,1,1,10,8,728,180,4.296875,-1.921875,335.902334175929,4.70709446274982
1,1,1,10,9,774,209,12.734375,-4.71875,339.66770500386,13.5805341648672
1,1,1,10,10,791,249,16.078125,-8.9375,330.931214947616,18.3952442159822
1,1,1,10,1,334,221,-12.5625,-3.828125,196.947361158399,13.132819471295
1,1,1,10,2,421,213,-8.046875,-3.234375,201.897253792257,8.67256472482333
1,1,1,10,3,485,233,-8.765625,-5.34375,211.367557219662,10.2660530732665
1,1,1,10,4,512,245,-8.703125,-7.25,219.795451738871,11.3272628982303
1,1,1,10,5,558,260,-6.171875,-10.03125,238.39747739736,11.7778613329469
1,1,1,10,6,615,251,-0.875,-8.25,263.945808105885,8.29627175302256
1,1,1,10,7,694,253,6.046875,-8.625,305.033796187884,10.5335332280116
1,1,1,10,8,728,180,4.296875,-1.921875,335.902334175929,4.70709446274982
1,1,1,10,9,774,209,12.734375,-4.71875,339.66770500386,13.5805341648672
1,1,1,10,10,791,249,16.078125,-8.9375,330.931214947616,18.3952442159822
1,1,1,10,1,334,221,-12.5625,-3.828125,196.947361158399,13.132819471295
1,1,1,10,2,421,213,-8.046875,-3.234375,201.897253792257,8.67256472482333
1,1,1,10,3,485,233,-8.765625,-5.34375,211.367557219662,10.2660530732665
1,1,1,10,4,512,245,-8.703125,-7.25,219.795451738871,11.3272628982303
1,1,1,10,5,558,260,-6.171875,-10.03125,238.39747739736,11.7778613329469
1,1,1,10,6,615,251,-0.875,-8.25,263.945808105885,8.29627175302256
1,1,1,10,7,694,253,6.046875,-8.625,305.033796187884,10.5335332280116
1,1,1,10,8,728,180,4.296875,-1.921875,335.902334175929,4.70709446274982
1,1,1,10,9,774,209,12.734375,-4.71875,339.66770500386,13.5805341648672
1,1,1,10,10,791,249,16.078125,-8.9375,330.931214947616,18.3952442159822
1,1,1,10,1,334,221,-12.5625,-3.828125,196.947361158399,13.132819471295
1,1,1,10,2,421,213,-8.046875,-3.234375,201.897253792257,8.67256472482333
1,1,1,10,3,485,233,-8.765625,-5.34375,211.367557219662,10.2660530732665
1,1,1,10,4,512,245,-8.703125,-7.25,219.795451738871,11.3272628982303
1,1,1,10,5,558,260,-6.171875,-10.03125,238.39747739736,11.7778613329469
1,1,1,10,6,615,251,-0.875,-8.25,263.945808105885,8.29627175302256
1,1,1,10,7,694,253,6.046875,-8.625,305.033796187884,10.5335332280116
1,1,1,10,8,728,180,4.296875,-1.921875,335.902334175929,4.70709446274982
1,1,1,10,9,774,209,12.734375,-4.71875,339.66770500386,13.5805341648672
1,1,1,10,10,791,249,16.078125,-8.9375,330.931214947616,18.3952442159822
