Count,Dataset,Session,Movie,Location,Coordinate_y,Coordinate_x,GT_u,GT_v,Resp_u_mean,Resp_v_mean,Resp_u_std,Resp_v_std
0,1,1,1,1,221,334,-12.5625,-3.828125,-15.73226476,-5.817461039,2.392893244,2.286151884
,1,1,1,2,213,421,-8.046875,-3.234375,-14.746393,-5.350214439,3.0345006,2.175189626
,1,1,1,3,233,485,-8.765625,-5.34375,-11.09683126,-8.567612033,3.424359995,3.195622303
,1,1,1,4,245,512,-8.703125,-7.25,-8.00008703,-10.23676978,3.815672859,2.881204215
,1,1,1,5,260,558,-6.171875,-10.03125,-6.592042736,-12.50765751,2.850746374,4.228083087
,1,1,1,6,251,615,-0.875,-8.25,0.226979998,-11.26369078,1.979780476,4.533298326
,1,1,1,7,253,694,6.046875,-8.625,6.710087753,-10.54469074,2.484724927,3.078326778
,1,1,1,8,180,728,4.296875,-1.921875,9.325227281,-4.416566639,4.698931347,4.233963144
,1,1,1,9,209,774,12.734375,-4.71875,11.82097927,-9.885912771,3.64606653,4.451586488
,1,1,1,10,249,791,16.078125,-8.9375,11.55819342,-11.10831507,3.01823486,2.355077044
,1,1,2,1,226,333,-13.28125,-2.90625,-11.98478716,-6.266834624,3.197779487,2.627194359
,1,1,2,2,173,417,-5.78125,-0.234375,-10.57002717,-3.263830489,3.655875211,2.7629593
,1,1,2,3,254,502,-3.5625,-3.140625,-6.770008244,-8.425977723,3.180467416,4.442712048
,1,1,2,4,296,529,-4.25,-7.390625,-5.202472773,-10.92047277,1.753856586,3.892279194
,1,1,2,5,298,654,3.1875,-7.609375,4.6353326,-11.39253161,1.772227099,3.89287624
,1,1,2,6,152,660,-2.296875,-0.046875,-2.140157294,1.903042479,1.050112892,1.215836239
,1,1,2,7,265,728,5.703125,-4.015625,8.449634952,-9.77717999,3.065242045,3.422332391
,1,1,2,8,213,809,9.875,-1.78125,9.96448893,-4.525219965,3.408001415,1.758519013
,1,1,2,9,154,828,8.984375,0.90625,10.75896074,-1.621671342,3.481268577,2.900712007
,1,1,2,10,192,893,14.171875,-0.71875,11.81777892,-4.442523016,3.605300465,1.850515256
,1,2,1,1,200,288,18.078125,1,-2.92043942,-4.793354205,24.13234017,10.48418576
,1,2,1,2,234,365,-18.734375,-5.078125,-10.104012,-10.10033147,8.654508768,4.748549442
,1,2,1,3,209,393,-10.5,-1.796875,-4.348569556,-5.007250891,8.143938359,4.79037283
,1,2,1,4,200,502,-1.71875,0.796875,-2.804548569,-5.076687054,2.959893914,4.233119452
,1,2,1,5,267,509,-2.265625,-3.484375,-2.46424771,-9.465236174,1.968256287,3.691820272
,1,2,1,6,181,518,-0.625,1.0625,-0.945396799,-5.452887681,0.793305402,4.44561449
,1,2,1,7,266,615,3.171875,-3.375,0.820499162,-10.42075788,2.405182878,2.699114798
,1,2,1,8,255,687,6.34375,-2.15625,4.173076649,-8.110987042,2.787456379,3.134582328
,1,2,1,9,147,796,9.40625,2.640625,9.36121483,-6.154906773,3.177198167,4.816386425
,1,2,1,10,185,901,17.046875,1.1875,12.05422179,-6.513633671,4.569475363,5.500205419
