Dataset,Session,Movie,Location,Trial,Coordinate_y,Coordinate_x,GT_u,GT_v,Resp_u,Resp_v
1,1,1,1,1,221,334,-12.5625,-3.828125,-16.56705644,-6.528282452
1,1,1,1,2,221,334,-12.5625,-3.828125,-18.52607226,-5.675240449
1,1,1,1,3,221,334,-12.5625,-3.828125,-14.18113986,-11.19563673
1,1,1,1,4,221,334,-12.5625,-3.828125,-16.43077656,-9.600728246
1,1,1,1,5,221,334,-12.5625,-3.828125,-10.06844279,-8.234787844
1,1,1,1,6,221,334,-12.5625,-3.828125,-15.13799216,-3.991611033
1,1,1,1,7,221,334,-12.5625,-3.828125,-14.63131876,-5.491447113
1,1,1,1,8,221,334,-12.5625,-3.828125,-11.01328008,-4.192556136
1,1,1,1,9,221,334,-12.5625,-3.828125,-18.45266787,-5.868339608
1,1,1,1,10,221,334,-12.5625,-3.828125,-16.73055103,-7.331365056
1,1,1,1,11,221,334,-12.5625,-3.828125,-16.89236847,-4.756695814
1,1,1,1,12,221,334,-12.5625,-3.828125,-14.81966819,-5.147289329
1,1,1,1,13,221,334,-12.5625,-3.828125,-17.18812218,-2.976035292
1,1,1,1,14,221,334,-12.5625,-3.828125,-17.62253017,-4.891663196
1,1,1,1,15,221,334,-12.5625,-3.828125,-17.13457434,-3.780582246
1,1,1,1,16,221,334,-12.5625,-3.828125,-16.31967505,-3.417116075
1,1,1,2,1,213,421,-8.046875,-3.234375,-13.45595462,-6.645593915
1,1,1,2,2,213,421,-8.046875,-3.234375,-16.80809147,-7.21242731
1,1,1,2,3,213,421,-8.046875,-3.234375,-12.76118159,-7.777200805
1,1,1,2,4,213,421,-8.046875,-3.234375,-14.44792148,-7.543091549
1,1,1,2,5,213,421,-8.046875,-3.234375,-17.46126692,-2.903396403
1,1,1,2,6,213,421,-8.046875,-3.234375,-14.43498949,-8.947307524
1,1,1,2,7,213,421,-8.046875,-3.234375,-6.337212166,-4.47475079
1,1,1,2,8,213,421,-8.046875,-3.234375,-17.82759245,-5.645405583
1,1,1,2,9,213,421,-8.046875,-3.234375,-15.72318146,-3.930795373
1,1,1,2,10,213,421,-8.046875,-3.234375,-14.80287429,-3.548254517
1,1,1,2,11,213,421,-8.046875,-3.234375,-15.09101295,-4.538650522
1,1,1,2,12,213,421,-8.046875,-3.234375,-17.54925546,-6.917224771
1,1,1,2,13,213,421,-8.046875,-3.234375,-10.14896697,-3.119379451
1,1,1,2,14,213,421,-8.046875,-3.234375,-17.67259294,-3.348491295
1,1,1,2,15,213,421,-8.046875,-3.234375,-15.63018168,-1.642301695
1,1,1,2,16,213,421,-8.046875,-3.234375,-15.7900121,-7.409159525
1,1,1,3,1,233,485,-8.765625,-5.34375,-12.90035846,-14.60294385
1,1,1,3,2,233,485,-8.765625,-5.34375,-10.98466612,-12.27010576
1,1,1,3,3,233,485,-8.765625,-5.34375,-16.41117393,-9.13150924
1,1,1,3,4,233,485,-8.765625,-5.34375,-10.51264803,-14.89291803
1,1,1,3,5,233,485,-8.765625,-5.34375,-6.705085271,-5.441436006
1,1,1,3,6,233,485,-8.765625,-5.34375,-2.535288791,-4.332696589
1,1,1,3,7,233,485,-8.765625,-5.34375,-8.982425472,-9.348378175
1,1,1,3,8,233,485,-8.765625,-5.34375,-8.061031167,-7.404208233
1,1,1,3,9,233,485,-8.765625,-5.34375,-12.99008864,-6.015901698
1,1,1,3,10,233,485,-8.765625,-5.34375,-12.0941491,-6.963297953
1,1,1,3,11,233,485,-8.765625,-5.34375,-11.92854859,-6.47843588
1,1,1,3,12,233,485,-8.765625,-5.34375,-15.30070576,-6.793749656
1,1,1,3,13,233,485,-8.765625,-5.34375,-9.84085163,-7.38063871
1,1,1,3,14,233,485,-8.765625,-5.34375,-14.15631558,-8.272414863
1,1,1,3,15,233,485,-8.765625,-5.34375,-11.07710658,-11.59365559
1,1,1,3,16,233,485,-8.765625,-5.34375,-13.06885708,-6.1595023
1,1,1,4,1,245,512,-8.703125,-7.25,-5.672450116,-14.9546412
1,1,1,4,2,245,512,-8.703125,-7.25,-4.089249889,-15.94807456
1,1,1,4,3,245,512,-8.703125,-7.25,-9.844399201,-10.70511169
1,1,1,4,4,245,512,-8.703125,-7.25,-7.238243469,-13.10560748
1,1,1,4,5,245,512,-8.703125,-7.25,-4.436759185,-8.542830721
1,1,1,4,6,245,512,-8.703125,-7.25,-3.347859041,-7.365289884
1,1,1,4,7,245,512,-8.703125,-7.25,-3.261939533,-8.433307075
1,1,1,4,8,245,512,-8.703125,-7.25,-3.810462252,-6.525419831
1,1,1,4,9,245,512,-8.703125,-7.25,-9.301534095,-10.51020801
1,1,1,4,10,245,512,-8.703125,-7.25,-8.114079825,-8.825841209
1,1,1,4,11,245,512,-8.703125,-7.25,-14.65586016,-6.354689355
1,1,1,4,12,245,512,-8.703125,-7.25,-14.12098913,-9.957107709
1,1,1,4,13,245,512,-8.703125,-7.25,-7.816657455,-8.752784088
1,1,1,4,14,245,512,-8.703125,-7.25,-11.58588906,-9.192559858
1,1,1,4,15,245,512,-8.703125,-7.25,-7.911045229,-13.71627267
1,1,1,4,16,245,512,-8.703125,-7.25,-12.79397483,-10.89857114
1,1,1,5,1,260,558,-6.171875,-10.03125,-3.500874189,-19.41994363
1,1,1,5,2,260,558,-6.171875,-10.03125,-5.599224801,-18.83974461
1,1,1,5,3,260,558,-6.171875,-10.03125,-10.08745276,-15.22516162
1,1,1,5,4,260,558,-6.171875,-10.03125,-8.332157968,-13.73369483
1,1,1,5,5,260,558,-6.171875,-10.03125,-3.632707848,-4.942174062
1,1,1,5,6,260,558,-6.171875,-10.03125,-2.233360253,-6.387414891
1,1,1,5,7,260,558,-6.171875,-10.03125,-2.392749778,-6.585759595
1,1,1,5,8,260,558,-6.171875,-10.03125,-4.450972995,-7.264808053
1,1,1,5,9,260,558,-6.171875,-10.03125,-9.092308874,-12.38339001
1,1,1,5,10,260,558,-6.171875,-10.03125,-9.681513936,-14.98476362
1,1,1,5,11,260,558,-6.171875,-10.03125,-11.25228575,-11.95190975
1,1,1,5,12,260,558,-6.171875,-10.03125,-8.808185418,-13.67586682
1,1,1,5,13,260,558,-6.171875,-10.03125,-6.003494587,-13.82456091
1,1,1,5,14,260,558,-6.171875,-10.03125,-7.353270469,-13.85808667
1,1,1,5,15,260,558,-6.171875,-10.03125,-7.705155749,-12.93365431
1,1,1,5,16,260,558,-6.171875,-10.03125,-5.346968403,-14.11158672
1,1,1,6,1,251,615,-0.875,-8.25,5.145977928,-14.54298108
1,1,1,6,2,251,615,-0.875,-8.25,-3.016423379,-16.01024717
1,1,1,6,3,251,615,-0.875,-8.25,-2.32573851,-16.81687852
1,1,1,6,4,251,615,-0.875,-8.25,-2.527299345,-13.84749436
1,1,1,6,5,251,615,-0.875,-8.25,-0.698092256,-3.015167292
1,1,1,6,6,251,615,-0.875,-8.25,0.195368527,-9.82420401
1,1,1,6,7,251,615,-0.875,-8.25,-0.702837959,-3.899078271
1,1,1,6,8,251,615,-0.875,-8.25,0.244633683,-2.878033879
1,1,1,6,9,251,615,-0.875,-8.25,0.22336083,-10.90000894
1,1,1,6,10,251,615,-0.875,-8.25,1.248337698,-12.14728599
1,1,1,6,11,251,615,-0.875,-8.25,2.140848073,-13.73275721
1,1,1,6,12,251,615,-0.875,-8.25,0.244957214,-9.430852915
1,1,1,6,13,251,615,-0.875,-8.25,2.012672283,-11.56116401
1,1,1,6,14,251,615,-0.875,-8.25,0.527791698,-12.18719008
1,1,1,6,15,251,615,-0.875,-8.25,0.176758661,-16.67423377
1,1,1,6,16,251,615,-0.875,-8.25,0.741364814,-12.75147497
1,1,1,7,1,253,694,6.046875,-8.625,9.227181241,-8.025725355
1,1,1,7,2,253,694,6.046875,-8.625,3.749425048,-12.44809113
1,1,1,7,3,253,694,6.046875,-8.625,6.274841114,-12.23853308
1,1,1,7,4,253,694,6.046875,-8.625,7.151694633,-16.33792311
1,1,1,7,5,253,694,6.046875,-8.625,4.957244707,-7.555157807
1,1,1,7,6,253,694,6.046875,-8.625,4.127355265,-7.38847704
1,1,1,7,7,253,694,6.046875,-8.625,5.105582898,-6.350846065
1,1,1,7,8,253,694,6.046875,-8.625,1.822057274,-5.265945212
1,1,1,7,9,253,694,6.046875,-8.625,6.327849397,-10.57861847
1,1,1,7,10,253,694,6.046875,-8.625,6.054227919,-11.9049524
1,1,1,7,11,253,694,6.046875,-8.625,8.047577021,-8.093563176
1,1,1,7,12,253,694,6.046875,-8.625,9.984889994,-13.81143468
1,1,1,7,13,253,694,6.046875,-8.625,5.699306133,-11.30034835
1,1,1,7,14,253,694,6.046875,-8.625,9.935466884,-12.08062449
1,1,1,7,15,253,694,6.046875,-8.625,8.611248425,-13.34458364
1,1,1,7,16,253,694,6.046875,-8.625,10.28545609,-11.99022783
1,1,1,8,1,180,728,4.296875,-1.921875,14.23990133,-10.16266464
1,1,1,8,2,180,728,4.296875,-1.921875,6.759483519,-10.62904291
1,1,1,8,3,180,728,4.296875,-1.921875,15.90695298,-8.512705295
1,1,1,8,4,180,728,4.296875,-1.921875,8.755428616,-10.90496497
1,1,1,8,5,180,728,4.296875,-1.921875,4.563852971,-3.035953568
1,1,1,8,6,180,728,4.296875,-1.921875,2.657209308,-7.528759716
1,1,1,8,7,180,728,4.296875,-1.921875,3.725105926,-8.52995351
1,1,1,8,8,180,728,4.296875,-1.921875,4.308950658,-3.919094467
1,1,1,8,9,180,728,4.296875,-1.921875,4.321521012,-2.587226392
